Cancer,Rank,Drug_Name,SMILES,Prediction_Score
COAD,5,HG-14-10-04,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)C5=CNC6=CC=CC=C65)Cl)OC,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)C5=CNC6=CC=CC=C65)Cl)OC
ESCA,1,SMER-28,Brc1ccc2ncnc(NCC=C)c2c1,SMER-28
ESCA,2,PD-168393,Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,PD-168393
ESCA,3,NVP-BHG712,Cc1ccc(cc1Nc1nc(nc2n(C)ncc12)-c1cccnc1)C(=O)Nc1cccc(c1)C(F)(F)F,NVP-BHG712
ESCA,4,WH-4-025,COc1ccc(N(C(=O)Oc2cc(ccc2C)C(=O)Nc2cccc(c2)C(F)(F)F)c2ccnc(Nc3ccc(cc3)N3CCN(C)CC3)n2)c(OC)c1,COc1ccc(N(C(=O)Oc2cc(ccc2C)C(=O)Nc2cccc(c2)C(F)(F)F)c2ccnc(Nc3ccc(cc3)N3CCN(C)CC3)n2)c(OC)c1
ESCA,5,R112,Oc1cccc(Nc2ncc(F)c(Nc3cccc(O)c3)n2)c1,R112
HNSC,1,AS-703026,OC[C@@H](O)CNC(=O)c1ccncc1Nc1ccc(I)cc1F,AS-703026
HNSC,2,GW-583340,CS(=O)(=O)CCNCc1nc(cs1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,GW-583340
HNSC,3,AZ-628,Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1,AZ-628
HNSC,4,CNX-774,CNC(=O)c1cc(Oc2ccc(Nc3ncc(F)c(Nc4cccc(NC(=O)C=C)c4)n3)cc2)ccn1,CNX-774
HNSC,5,TAK-733,Cn1c2ncn(C[C@@H](O)CO)c(=O)c2c(Nc2ccc(I)cc2F)c(F)c1=O,TAK-733
KICH,1,CHEMBL2355586,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C
KICH,2,CHEMBL2359459,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C
KICH,3,CHEBI:129004,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C
KICH,4,CHEMBL2136858,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C
KICH,5,CHEMBL2356693,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(cc4C1=O)N(C)C
KIRC,1,CHEMBL1476499,Cc1occc1CNc1ncnc2ccc(cc12)-c1ccc2OCOc2c1,Cc1occc1CNc1ncnc2ccc(cc12)-c1ccc2OCOc2c1
KIRC,2,GSK1070916,CCn1cc(c(n1)-c1ccc(NC(=O)N(C)C)cc1)-c1ccnc2[nH]c(cc12)-c1cccc(CN(C)C)c1,GSK1070916
KIRC,3,MLS002264437,CN1CCCCC1CNc2ncnc3ccc(cc23)c4c(C)noc4C,CN1CCCCC1CNc2ncnc3ccc(cc23)c4c(C)noc4C
KIRC,4,MLS002264439,Cc1ccsc1CNc2ncnc3ccc(cc23)c4c(C)noc4C,Cc1ccsc1CNc2ncnc3ccc(cc23)c4c(C)noc4C
KIRC,5,MLS002264438,CC(Nc1ncnc2ccc(cc12)c3c(C)noc3C)c4ccco4,CC(Nc1ncnc2ccc(cc12)c3c(C)noc3C)c4ccco4
KIRP,1,CHEMBL1722927,CCc1ccc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)cc1,CCc1ccc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)cc1
KIRP,2,SMR000077511,COc1ccc2nc(Nc3nc(C)c(CCC(C)C)c(=O)[nH]3)nc(C)c2c1,COc1ccc2nc(Nc3nc(C)c(CCC(C)C)c(=O)[nH]3)nc(C)c2c1
KIRP,3,CHEMBL566495,COc1cccc(c1)c2ccc3ncnc(NCc4cccc(C)c4)c3c2,COc1cccc(c1)c2ccc3ncnc(NCc4cccc(C)c4)c3c2
KIRP,4,MLS000089581,Cc1ccnc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)c1,Cc1ccnc(NC(=O)CCCOc2cc(=O)n(C)c3ccccc23)c1
KIRP,5,ethisterone,C[C@]12CC[C@@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@H]1CC[C@@]2(O)C#C,C[C@]12CC[C@@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@H]1CC[C@@]2(O)C#C
